,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
590,600649,城投控股,0.2,-16.67,,2.87,,60719.23,-14.59,,04-29
591,002713,东易日盛,-0.23,-8.0,,-5.79,,-5872.65,-5.49,,04-29
592,601238,广汽集团,0.59,96.67,,8.35,,382857.84,98.68,,04-29
593,002406,远东传动,0.06,20.0,,1.49,,3365.93,14.05,,04-29
594,000691,ST亚太,-0.01,23.91,,-5.15,,-184.74,24.74,,04-29
595,600686,金龙汽车,-0.09,-200.0,,-1.5,,-5322.18,-194.54,,04-29
596,601390,中国中铁,0.11,7.0,,1.84,,262258.3,15.32,,04-29
597,603823,百合花,0.12,-29.41,,2.27,,2674.82,-12.77,,04-29
598,603883,老百姓,0.42,40.0,,5.94,,11333.33,43.33,,04-29
599,002133,广宇集团,0.03,,,0.7,,1992.26,4420.91,,04-29
600,002047,宝鹰股份,0.05,25.0,,2.3,,6306.08,17.1,,04-29
601,000633,*ST合金,-0.02,-22.75,,-4.25,,-757.13,-22.81,,04-29
602,600642,申能股份,0.11,-13.28,,1.97,,50593.47,-13.12,,04-29
603,601166,兴业银行,0.88,7.32,17.59,4.7,-2.25,1682400.0,7.16,,04-29
604,603689,皖天然气,0.12,-14.29,,2.44,,3813.65,9.7,,04-29
605,600661,新南洋,0.06,16.1,,1.7,,1605.32,15.96,,04-29
606,600680,*ST上普,-0.05,390.91,,-2.59,,-2047.26,409.41,,04-29
607,601366,利群股份,0.17,13.33,,4.11,,11444.44,10.76,,04-29
608,002416,爱施德,0.09,46.55,,1.63,,8732.35,52.98,,04-29
609,000705,浙江震元,0.03,32.26,,0.84,,1097.39,32.56,,04-29
